user_input,reference_contexts,reference
Misafir hesabı kullanarak meturoam ağına bağlanmak için hangi adımları izlemeliyim?,"['FAQ Question: How can I connect to meturoam network?\nFAQ Answer: A device must support WPA2 Enterprise with PEAP/MSCHAPv2 in order to be able to connect to METU wireless network, meturoam. Please click here: https://faq.cc.metu.edu.tr/faq/which-devices-are-known-not-support-meturoam for a list of some popular devices that are known to NOT work on the meturoam wireless network. To connect to the meturoam wireless network, you need a METU usercode and a password for meturoam. If you have a password, please continue to HOW-TO  section. If you didn\'t create a password for meturoam or you want to renew your password, please visit https://netregister.metu.edu.tr and click Wireless icon, then click ""meturoam"" icon.  In the meturoam menu, please provide a new password to be used only for this service with your user code. (In some Android and IOS devices, some special characters like #, \', $ in the password may cause problems to connect to meturoam. If you can connect to meturoam via a computer but having problems with Android or IOS devices, please check your password for special characters and create a new password with other characters.)    Connecting to meturoam After you set your new password, please connect to meturoam SSID from your wireless device. You can use this password with every device you own, you do not have to set passwords for each device. Be sure to set the protocols as PEAP and MSCHAPv2.  Use your METU usercode and password for the meturoam service. (Please make sure you use your usercode like e123456metu.edu.tr, not your email aliases in the form of name.surnamemetu.edu.tr) In Windows 10, protocol settings are done automatically. You do not need to set the protocols. For Linux operating systems or Windows 7 and below, you may also need to select WPA2-Enterprise and AES. In mobile devices, if you use the autocomplete function in your keyboard, a blank space may be added to your usercode. Pay attention to last character in your usercode. It should not be a blank space. If you are asked for a certificate, you may select ""Do not validate"" and skip it. (For some Android devices, certificate field might be compulsory. You can select ""Use System Certificate"" and type border.metu.edu.tr netlogin.metu.edu.tr) If you are asked for anonymous identity, you may type anonymous@metu.edu.tr.  For Raspberry pi devices, add the following conf to wpa_supplicant.conf file.network={ssid=""meturoam""key_mgmt=WPA-EAPpairwise=CCMPeap=PEAPidentity=""< username >""anonymous_identity=""anonymous@metu.edu.tr""password=""< password >""} Then restart wpa_supplicant. Actual filenames and paths may vary.killall wpa_supplicantwpa_supplicant -B -Dwext -i wlan0 -c /etc/wpa_supplicant/wpa_supplicant.conf -f /var/log/wpa_supplicant.log      If you forgot your password, you can set a new one in order to use the wireless network. Those users who do not prefer to create a meturoam password can also connect to eduroam. !!! Wireless network connection problems are observed in some of Android devices using Android 6 and prior versions. Occasionally these devices display there is an established wireless connection on the screen but when you try to connect to the Internet, they fail. This problem is originated from a bug in the operating system. The bug cause Android devices to continue to use DHCP-leased IP addresses after the leases expire, and cause Android devices to resume using IP addresses from expired DHCP leases. When you face the the same problem please disable your Wi-Fi connection and enable it again.  \nFAQ Link: https://faq.cc.metu.edu.tr/faq/meturoam\n', 'FAQ Question: A guest account created for me. How can I connect meturoam wireless network?\nFAQ Answer:   A device must support WPA2 Enterprise with PEAP/MSCHAPv2 in order to be able to connect to METU wireless network, meturoam. Please click here: https://faq.cc.metu.edu.tr/faq/which-devices-are-known-not-support-meturoam for a list of some popular devices that are known to NOT work on the meturoam wireless network. Connecting to meturoam After a guest account created for you, please connect to meturoam SSID from your wireless device. You can use this password with every device you own, you do not have to set passwords for each device. Be sure to set the protocols as PEAP and MSCHAPv2.  Use your username and password sent via e-mail by the guest account creator for the meturoam service. In Windows 10, protocol settings are done automatically. You do not need to set the protocols. For Linux operating systems or Windows 7 and below, you may also need to select WPA2-Enterprise and AES. In mobile devices, if you use the autocomplete function in your keyboard, a blank space may be added to your username. Pay attention to last character in your username. It should not be a blank space. If you are asked for a certificate, you may skip it. (For some Android devices, certificate field might be compulsory. You can select ""Use System Certificate"" and type border.metu.edu.tr netlogin.metu.edu.tr) If you are asked for anonymous identity, you may type anonymous@metu.edu.tr. !!! Wireless network connection problems are observed in some of Android devices using Android 6 and prior versions. Occasionally these devices display there is an established wireless connection on the screen but when you try to connect to the Internet, they fail. This problem is originated from a bug in the operating system. The bug cause Android devices to continue to use DHCP-leased IP addresses after the leases expire, and cause Android devices to resume using IP addresses from expired DHCP leases. When you face the the same problem please disable your Wi-Fi connection and enable it again.  \nFAQ Link: https://faq.cc.metu.edu.tr/faq/guest-account-created-me-how-can-i-connect-meturoam-wireless-network\n']","Misafir hesabı kullanarak meturoam kablosuz ağına bağlanmak için cihazınızın PEAP/MSCHAPv2 ile WPA2 Enterprise'ı desteklediğinden emin olun. Öncelikle, kablosuz cihazınızdan meturoam SSID'sine bağlanın. Misafir hesap oluşturucusu tarafından size e-posta ile gönderilen kullanıcı adı ve şifreyi kullanabilirsiniz. Windows 10'da, protokol ayarları otomatik olarak yapılandırıldığından, ek bir ayar yapmanıza gerek yoktur. Linux işletim sistemleri veya Windows 7 ve altı için WPA2-Enterprise ve AES'i seçmeniz gerekebilir. Klavyenizde otomatik tamamlama işlevini kullanıyorsanız, kullanıcı adınıza eklenebilecek boşluklara dikkat edin; son karakterin boşluk olmadığından emin olun. Sertifika istenirse, bu adımı atlayabilirsiniz, ancak bazı Android cihazları için 'Sistem Sertifikasını Kullan' seçeneğini seçmeniz ve border.metu.edu.tr ile netlogin.metu.edu.tr adreslerini girmeniz gerekebilir. Anonim bir kimlik istenirse, anonymous@metu.edu.tr yazabilirsiniz. Android cihazlarının 6 veya daha önceki sürümlerinin işletim sistemindeki bir hata nedeniyle bağlantı sorunları yaşayabileceğini unutmayın. Sorunla karşılaşırsanız, Wi-Fi bağlantınızı devre dışı bırakmayı ve tekrar etkinleştirmeyi deneyin."
Bölüm koordinatörümle iletişime geçmek ve üniversitedeki nakit ödemelerimi kontrol etmek için hangi adımları izlemeliyim?,"['FAQ Question: How can I reach to department coordinator?\nFAQ Answer:   You can reach to department coordinators list via\xa0http://coordinators.metu.edu.tr/  \nFAQ Link: https://faq.cc.metu.edu.tr/faq/how-can-i-reach-department-coordinator\n', 'FAQ Question: How can I see my cash payments and loadings?\nFAQ Answer:   You can see your cash loadings/payments from “Transaction/Kart Hareketleri” section on https://cardinfo.metu.edu.tr web page after you logged-in the system.   \nFAQ Link: https://faq.cc.metu.edu.tr/faq/how-can-i-see-my-cash-payments-and-loadings\n']","Departman koordinatörünüzle iletişime geçmek için, aşağıdaki bağlantıdan departman koordinatörleri listesini erişebilirsiniz: http://coordinators.metu.edu.tr/. Nakit ödemelerinizi ve yüklemelerinizi kontrol etmek için, sisteme giriş yapmanız ve https://cardinfo.metu.edu.tr adresindeki 'İşlem/Kart Hareketleri' bölümüne gitmeniz gerekmektedir."
ODTU kartıma para yüklemek için hangi adımları izlemeliyim?,"['FAQ Question: How can I reach to department coordinator?\nFAQ Answer:   You can reach to department coordinators list via\xa0http://coordinators.metu.edu.tr/  \nFAQ Link: https://faq.cc.metu.edu.tr/faq/how-can-i-reach-department-coordinator\n', 'FAQ Question: How can I load money through odtucard website?\nFAQ Answer:   1. Open https://odtucard.metu.edu.tr from your web browser and login with your student / personnel number.\xa0  2. After you logged in system, enter the amount which you want to load to your smart card on the right side and click on ""Load Money For METU Card"" button.  3. Click ""Yes"" on the confirmation window.  4. Make a payment with your bank account information. Payment is done with 3D Secure thorugh odtucard website. So, your card should be open to pay with 3D secure. When this phase is terminated by closing the window, payment process is suspended by the sysytem and you should wait a period of time to make a payment again.  5. After making payment with 3D secure, ""provision is successful"" message appears and after a while, you are directed to odtucard webpage. The amount you loaded to your smart card is seen on the ""pending provision"" field. In order to transfer the money to your smarcard, you should tap your card to one fo the kiosks or balance loading devices located in the cafeteria. \xa0  \nFAQ Link: https://faq.cc.metu.edu.tr/faq/how-can-i-load-money-through-odtucard-website\n']","ODTÜ kartınıza para yüklemek için bu adımları izleyin: 1. Web tarayıcınızdan https://odtucard.metu.edu.tr adresini açın ve öğrenci veya personel numaranızla giriş yapın. 2. Giriş yaptıktan sonra, sağ tarafta akıllı kartınıza yüklemek istediğiniz miktarı girin ve 'ODTÜ Kartı için Para Yükle' butonuna tıklayın. 3. Onay penceresinde 'Evet' butonuna tıklayın. 4. Banka hesap bilgilerinizi kullanarak ödeme yapın. Ödeme, ODTÜ kartı web sitesi üzerinden 3D Secure ile işlenmektedir, bu yüzden kartınızın 3D Secure ödemeleri için etkinleştirildiğinden emin olun. Ödeme penceresi kapanırsa, işlem askıya alınacak ve tekrar denemeden önce beklemeniz gerekecek. 5. Ödeme başarılı olduğunda, 'provision is successful' mesajı görünecek ve ODTÜ kartı web sayfasına yönlendirileceksiniz. Yüklediğiniz miktar 'pending provision' alanında gösterilecektir. Parayı akıllı kartınıza aktarmak için kartınızı kafeteryada bulunan kiosk veya bakiye yükleme cihazlarından birine dokundurun."
"Yurt Bilgi Teknolojileri Destek Koordinatörü olarak, sık sık sakinlerden, bölüm koordinatörlerine etkili bir şekilde nasıl ulaşacakları ve kampüsteki merkezi sunucu sistemlerine nasıl bağlanacakları hakkında sorular alıyorum. Bu iki konu hakkında, sorunlarını çözmelerine yardımcı olacak ilgili bağlantılar veya kaynaklar da dahil olmak üzere ayrıntılı rehberlik sağlayabilir misiniz?","['FAQ Question: How can I reach to department coordinator?\nFAQ Answer:   You can reach to department coordinators list via\xa0http://coordinators.metu.edu.tr/  \nFAQ Link: https://faq.cc.metu.edu.tr/faq/how-can-i-reach-department-coordinator\n', 'FAQ Question: How can I connect to the Central Server Systems from campus?\nFAQ Answer:   Within the METU Campus you can reach the central servers named Beluga and Orca. _x0093_To connect central servers, you can use the newest version of SSH or try a different program. WinSCP is the one of the FTP programs you can use. You can make operations like changing the permissions of your files in the server, copying/moving a files and folders. Additionally, for users who are more comfortable with command line PuTTY is a free software which enable to make necessary operations. https://winscp.net/eng/download.php\xa0address can be used to download these two programs.  \nFAQ Link: https://faq.cc.metu.edu.tr/faq/how-can-i-connect-central-server-systems-campus\n']","Departman koordinatörünüze ulaşmak için, aşağıdaki bağlantıdan departman koordinatörleri listesini erişebilirsiniz: [Departman Koordinatörleri Listesi](http://coordinators.metu.edu.tr/). Bu kaynak, belirli departmanınız için uygun iletişim kişisini bulmanıza yardımcı olacaktır.

Kampüsten Merkezi Sunucu Sistemlerine bağlanmak için, Beluga ve Orca adlı merkezi sunuculara erişebilirsiniz. Bu sunuculara bağlanmak için, en son sürüm SSH veya dosya izinlerini değiştirme ve dosya ve klasörleri kopyalama veya taşıma gibi çeşitli işlemleri gerçekleştirmenizi sağlayan bir FTP programı olan WinSCP gibi alternatif programlar kullanmanız önerilir. WinSCP'yi [bu bağlantıdan](https://winscp.net/eng/download.php) indirebilirsiniz. Ayrıca, komut satırı araçlarını tercih ediyorsanız, PuTTY, sunucularda gerekli işlemleri gerçekleştirmenizi sağlayan ücretsiz bir yazılımdır."
Yurt internet erişimi için VPN uygulamasını indirmek için hangi adımları izlemeliyim?,"['FAQ Question: How can I reach to department coordinator?\nFAQ Answer:   You can reach to department coordinators list via\xa0http://coordinators.metu.edu.tr/  \nFAQ Link: https://faq.cc.metu.edu.tr/faq/how-can-i-reach-department-coordinator\n', 'FAQ Question: How to Download the VPN Application?\nFAQ Answer:   To download the VPN application, please visit https://netregister.metu.edu.tr and click ""VPN Service"" icon.  In the VPN Service menu,\xa0 please click ""Download"" or ""View"" link to download\xa0\xa0the VPN application which suits your Operating System.   \nFAQ Link: https://faq.cc.metu.edu.tr/faq/how-download-vpn-application\n']","VPN uygulamasını indirmek için lütfen https://netregister.metu.edu.tr adresini ziyaret edin ve 'VPN Servisi' simgesine tıklayın. VPN Servisi menüsünde, işletim sisteminize uygun VPN uygulamasını indirmek için 'İndir' veya 'Görüntüle' bağlantısına tıklayın."
Eğer üniversitede IP adresimin kısıtlandığından şüpheleniyorsam hangi adımları atmalıyım?,"['FAQ Question: How can I reach to department coordinator?\nFAQ Answer:   You can reach to department coordinators list via\xa0http://coordinators.metu.edu.tr/  \nFAQ Link: https://faq.cc.metu.edu.tr/faq/how-can-i-reach-department-coordinator\n', 'FAQ Question: How can I learn whether my ip address has restricted or not?\nFAQ Answer:   The access of IPs may be resitricted beacuse of the SPAM, Viruses, unauthorized usage, P2P Sharing, and breach of license for a limited time or indefinite by the METU-CC. You can check the status of your IP by the link below:\xa0 https://netregister.metu.edu.tr ->\xa0Restriction Menu The users has the restricted IPs, after solving the problem caused to the restriction may login https://netregister.metu.edu.tr with their METU username and password and remove the restriction. Some restrictions may not appear on the Restriction menu, or the you may not be allowed to remove the restriction by yourself. In such a case, please\xa0reach us via ""Contact Us"" link on METU Computer Center web site with your restricted MAC address. Your status will be examined and returned to you as soon as possible. \xa0  \nFAQ Link: https://faq.cc.metu.edu.tr/faq/how-can-i-learn-whether-my-ip-address-has-restricted-or-not\n']","Eğer IP adresinizin kısıtlandığından şüpheleniyorsanız, IP'nizin durumunu kontrol etmek için https://netregister.metu.edu.tr adresini ziyaret edebilir ve Kısıtlama Menüsü'ne gidebilirsiniz. Kısıtlamalar SPAM, virüsler, yetkisiz kullanım, P2P paylaşımı veya lisans ihlalleri nedeniyle meydana gelebilir. Eğer IP'niz kısıtlandıysa, temel sorunu çözdükten sonra kısıtlamayı kaldırmak için METU kullanıcı adınız ve şifrenizle giriş yapabilirsiniz. Ancak, bazı kısıtlamalar Kısıtlama menüsünde görünmeyebilir veya bunları kendiniz kaldırma yetkiniz olmayabilir. Bu gibi durumlarda, METU Bilgisayar Merkezi web sitesindeki 'Bize Ulaşın' bağlantısı aracılığıyla iletişime geçmeli ve daha fazla yardım için kısıtlı MAC adresinizi sağlamalısınız."
Kullanıcı kodumu ve şifremi doğru girmeme rağmen VPN hizmetine bağlanamıyorsam hangi adımları atmalıyım?,"[""FAQ Question: What is VPN Service?\nFAQ Answer:   With METU VPN Service, by installing a packaged program (VPN Client) on personal computers and/or mobile devices, our members and students could access to our campus network resources when they are outside the campus. To use VPN Service on your device follow the steps in faq.cc.metu.edu.tr related with your devices' operating system.  \nFAQ Link: https://faq.cc.metu.edu.tr/faq/what-vpn-service\n"", 'FAQ Question: I cannot connect VPN Service even if I entered my user code and password correctly. What could be the problem?\nFAQ Answer:   First of all, please check your user code and password combination using https://useraccount.metu.edu.tr/. You can also specify recovery e-mail address from that page. If user code and password combination is not the case, VPN Client profile could have been changed. Therefore, you are advised to remove the VPN connection profile from your device. You can clear saved profiles from your VPN Client or you can re-install the VPN Client program. If your problem persists, please visit\xa0http://faq.cc.metu.edu.tr/faq/i-have-problems-vpn-services-what-can-i-do  \nFAQ Link: https://faq.cc.metu.edu.tr/faq/i-cannot-connect-vpn-service-even-if-i-entered-my-user-code-and-password-correctly-what-could-be\n']","VPN hizmetine kullanıcı kodunuzu ve şifrenizi doğru bir şekilde girdikten sonra bile bağlanamıyorsanız, öncelikle kullanıcı kodu ve şifre kombinasyonunuzu https://useraccount.metu.edu.tr/ adresinde kontrol edin. Eğer sorun bu değilse, VPN İstemci profiliniz değişmiş olabilir. Bu durumda, cihazınızdaki VPN bağlantı profilini kaldırmalısınız. VPN İstemcinizden kaydedilmiş profilleri temizleyebilir veya VPN İstemci programını yeniden yükleyebilirsiniz. Sorun devam ederse, daha fazla yardım için lütfen http://faq.cc.metu.edu.tr/faq/i-have-problems-vpn-services-what-can-i-do adresini ziyaret edin."
Hangi VPN hizmetine ihtiyacım var?,"[""FAQ Question: What is VPN Service?\nFAQ Answer:   With METU VPN Service, by installing a packaged program (VPN Client) on personal computers and/or mobile devices, our members and students could access to our campus network resources when they are outside the campus. To use VPN Service on your device follow the steps in faq.cc.metu.edu.tr related with your devices' operating system.  \nFAQ Link: https://faq.cc.metu.edu.tr/faq/what-vpn-service\n"", 'FAQ Question: How to Delete VPN Profiles ?\nFAQ Answer:   Open Aruba VIA and click ""Settings"" icon.  Click on ""VPN Profiles"" tab and click\xa0 ""Clear Profiles"".  Select current profile ""UserController1"" from the list and click\xa0 ""-"" icon.  Confirm the process. Click\xa0 ""Continue"".  Click\xa0 ""Cancel"" to return ""VPN Profile Download"" section.  ""Click to download VPN Profile"".  Enter the ""border.metu.edu.tr"" url. Click\xa0 ""Download"" button.  Select ""default"" profile from the list.   Enter your ""username"" and ""password"". Click\xa0 ""Proceed"". Download the profile.  Reboot your computer and open again Aruba-VIA. Enter your ""username"" and ""password"" to connect METU VPN.   \nFAQ Link: https://faq.cc.metu.edu.tr/faq/how-delete-vpn-profiles\n']","METU VPN Servisi ile, kişisel bilgisayarlara ve/veya mobil cihazlara paketlenmiş bir program (VPN İstemcisi) kurarak, üyelerimiz ve öğrencilerimiz kampüs dışında olduklarında kampüs ağ kaynaklarımıza erişebilirler. Cihazınızda VPN Servisini kullanmak için, cihazınızın işletim sistemi ile ilgili faq.cc.metu.edu.tr'deki adımları izleyin."
"Yurt Bilgi Teknolojileri Destek Koordinatörü olarak, sıkça sakinlerden kampüs kaynaklarına kampüs dışında güvenli bir şekilde nasıl erişebilecekleri hakkında sorular alıyorum. METU VPN Servisi ve öğrenciler için önemini açıklayabilir misiniz, ayrıca METU kablosuz ağına erişimi olmayanlar için metuconnect ağına nasıl bağlanacakları konusunda rehberlik sağlayabilir misiniz?","[""FAQ Question: What is VPN Service?\nFAQ Answer:   With METU VPN Service, by installing a packaged program (VPN Client) on personal computers and/or mobile devices, our members and students could access to our campus network resources when they are outside the campus. To use VPN Service on your device follow the steps in faq.cc.metu.edu.tr related with your devices' operating system.  \nFAQ Link: https://faq.cc.metu.edu.tr/faq/what-vpn-service\n"", 'FAQ Question: metuconnect\nFAQ Answer:   If you do not have a password for meturoam and do not have access to METU wireless network, then you can connect to metuconnect SSID in order to connect to meturoam. After connecting to metuconnect, please login to\xa0https://netregister.metu.edu.tr and follow the instructions to create a new\xa0meturoam\xa0password. Users who already have meturoam passwords do not need to connect to metuconnect. There are access restrictions in the metuconnect network.  \nFAQ Link: https://faq.cc.metu.edu.tr/faq/metuconnect\n']","ODTÜ VPN Servisi, kampüs dışındayken kampüs ağ kaynaklarına erişim ihtiyacı duyan öğrenciler ve üyeler için gereklidir. Kullanıcılar, kişisel bilgisayarlarına veya mobil cihazlarına bir VPN İstemcisi kurarak kampüs ağına güvenli bir şekilde bağlanabilirler. VPN Servisini kullanmak için, sakinlerin cihazlarının işletim sistemiyle ilgili olarak sağlanan özel talimatları takip etmeleri gerekmektedir. Bu talimatlar https://faq.cc.metu.edu.tr/faq/what-vpn-service adresinde bulunabilir.

Meturoam şifresi olmayan ve METU kablosuz ağına erişimi olmayanlar için, metuconnect SSID'sine bağlanmak geçerli bir seçenektir. Metuconnect'e bağlandıktan sonra, kullanıcılar yeni bir meturoam şifresi oluşturmak için https://netregister.metu.edu.tr adresine gitmelidir. Meturoam şifresi olan kullanıcıların metuconnect'e bağlanmalarına gerek olmadığını belirtmek önemlidir. Ancak, metuconnect ağında erişim kısıtlamaları olduğunu ve bunun bağlantıyı etkileyebileceğini unutmayın."
"Bir Üniversite BT Destek Teknisyeni olarak, sık sık VPN hizmeti hakkında kafası karışık olan öğrencilerle karşılaşıyorum. VPN hizmetinin ne olduğunu ve bağlantı kurmak için hangi adımları izlemeleri gerektiğini, özellikle bağlantı sırasında şifrelerinin istenmemesi durumunda açıklayabilir misiniz?","[""FAQ Question: What is VPN Service?\nFAQ Answer:   With METU VPN Service, by installing a packaged program (VPN Client) on personal computers and/or mobile devices, our members and students could access to our campus network resources when they are outside the campus. To use VPN Service on your device follow the steps in faq.cc.metu.edu.tr related with your devices' operating system.  \nFAQ Link: https://faq.cc.metu.edu.tr/faq/what-vpn-service\n"", 'FAQ Question: My password is not asked when I try to connect VPN Service. What Should I do?\nFAQ Answer:   When you are connecting to the VPN Service, you should enter your password on each connection. If you are not asked to enter your password everytime, you are advised to remove the VPN connection profile from your device. You can clear saved profiles from your VPN Client or you can re-install the VPN Client program.\xa0  \nFAQ Link: https://faq.cc.metu.edu.tr/faq/my-password-not-asked-when-i-try-connect-vpn-service-what-should-i-do\n']","METU'daki VPN Servisi, öğrencilerin ve öğretim üyelerinin kişisel bilgisayarlarına veya mobil cihazlarına bir VPN İstemcisi kurarak üniversite dışından kampüs ağ kaynaklarına erişim sağlamalarına olanak tanır. VPN Servisi'ne bağlanmak için kullanıcılar, cihazlarının işletim sistemi için belirtilen adımları faq.cc.metu.edu.tr adresinde takip etmelidir. Eğer bir kullanıcı VPN'e bağlanırken şifre girmesi istenmiyorsa, VPN bağlantı profilini cihazından kaldırması önerilir. Bu, VPN İstemcisinden kaydedilmiş profilleri silerek veya VPN İstemcisi programını yeniden yükleyerek doğru işlevselliği sağlamak için yapılabilir."
VPN hizmeti nedir ve nasıl kullanabilirim?,"[""FAQ Question: What is VPN Service?\nFAQ Answer:   With METU VPN Service, by installing a packaged program (VPN Client) on personal computers and/or mobile devices, our members and students could access to our campus network resources when they are outside the campus. To use VPN Service on your device follow the steps in faq.cc.metu.edu.tr related with your devices' operating system.  \nFAQ Link: https://faq.cc.metu.edu.tr/faq/what-vpn-service\n"", 'FAQ Question: I have problems with VPN services, what can I do?\nFAQ Answer:   If you have problems with installing the Aruba VIA software, please visit https://faq.cc.metu.edu.tr/faq/i-have-problems-installing-vpn-services-w... If you have problems with connecting to the VPN service, please check the following settings: Make sure that you have the version of Aruba VIA installed on your system is the same as the one available from\xa0https://netregister.metu.edu.tr . There may be an update to the version you are using. After downloading\xa0the new version, follow the steps at\xa0http://faq.cc.metu.edu.tr/groups/vpn-service matching your operating system to setup Aruba VIA. If you end up with ""... has stopped working"" Windows error message when you try to run Aruba VIA software, there might be a problem with the software installation or a different problem with the operating system. For this problem, you can follow the resolutions suggested from this link.\xa0 For each connection, you need to provide your usercode and password. If the Aruba VIA application does not ask for your usercode and password, please try clearing the profile of Aruba VIA. You can\xa0follow the steps at\xa0http://faq.cc.metu.edu.tr/groups/vpn-service matching your operating system to setup Aruba VIA. Your network provider might be blocking the communication ports Aruba VIA needs to use. The ports Aruba VIA uses are 443 and 4500. (UDP: \xa0500, 1701, 4500\xa0TCP: 1723, 443,\xa0IP protocol: 50 are also used for MACOS) You can contact the IT department of your network provider to make sure that these ports are not blocked. Any antivirus or firewall applications installed on your computer might also block VPN connections or cause the application not to install. In such a case, please uninstall both the VPN and the antivirus/firewall applications and restart your computer. Then, you can try installing Aruba VPN. If you can establish the connection, you can install the antivirus after the VPN application. (During our trials, in Windows 10 64 bit running Symantec Endpoint protection, even if the real-time protection is disabled, the VPN application and setup failed. With both Symantec and Aruba VPN uninstalled and then only Aruba VPN installed, VPN connection can be established) If you cannot see the Aruba Via driver in the Device Manager / Network adapters, it means that the setup of Aruba VPN is not complete and VPN might not work as expected. In such a case please uninstall and try installing Aruba VIA again and make sure that Aruba Via Driver is working properly in Device Manager. You can only connect to the VPN service with the clients available from\xa0https://netregister.metu.edu.tr/ and for the listed operating systems. Due to the protocols used, you cannot connect to the VPN service with the utilities built-in the operating system or any other third party clients. If there is not an Aruba VPN client available, you can connect to the VPN via other devices till a version compatible with your operating system becomes available. Even after trying the above recommended solutions, please open an issue via\xa0https://itsupport.metu.edu.tr/ \xa0 Usercode: Operating system and device type (PC, Tablet, Phone, etc.): Screenshot of diagnostics tab: Screenshot of Connection Log in Diagnostics tab: Screenshot of the errors, if any, in Connection Details tab The logs created with the Send Logs button in Connection Details tab: Time / date you try to connect  \nFAQ Link: https://faq.cc.metu.edu.tr/faq/i-have-problems-vpn-services-what-can-i-do\n']","METU VPN Servisi ile, kişisel bilgisayarlara ve/veya mobil cihazlara paketlenmiş bir program (VPN İstemcisi) kurarak, üyelerimiz ve öğrencilerimiz kampüs dışında olduklarında kampüs ağ kaynaklarımıza erişebilirler. Cihazınızda VPN Servisini kullanmak için, cihazınızın işletim sistemiyle ilgili faq.cc.metu.edu.tr adresindeki adımları izleyin."
"Su Altı Araştırma Koordinatörü olarak, ODTÜ Aikido Topluluğu'nun çocukların fiziksel ve psikolojik gelişimini teşvik etme konusundaki katkılarını, özellikle saygı, iş birliği ve öz disiplin konularına odaklanmalarıyla ilgili olarak anlamakla ilgileniyorum. Bu hedeflere ulaşmak için kulübün gerçekleştirdiği belirli girişimler ve etkinlikler hakkında daha fazla bilgi verebilir misiniz?","['Sports Club Name: ODTÜ AİKİDO TOPLULUĞU\nSports Club Description: Bünyesindeki Çocuk Aikido grubuyla beraber 200’ü aşkın üyesiyle beraber Türkiye’nin en büyük dojosu olan ODTÜ Aikido Topluluğu’nun birçok üyesi her sene yurtiçi ve yurtdışında birçok Aikido seminerine katılmaktadır.\xa0Her ne kadar yakın doğu dövüş sanatı kulüplerinin kadınlar tarafından ilgi çekmediği düşünülse de, ODTÜ Aikido Topluluğu’nun neredeyse yarısı kadınlardan oluşmaktadır. Topluluğun amacı bu yanlış algıyı düzeltmektir ve teknik olarak ileri seviye, ahlaklı sporcular yetiştirmek ile Aikidoyu daha da yaymak ve sevdirmektir. Bundan ayrı olarak Çocuk Aikido grubunda yaptığı çalışmalarla birlikte çocukların fiziksel, sosyal ve psikolojik gelişimini sağlamanın yanında saygı, işbirliği ve uyum ile mesleki başarıyı sağlayan özgüven, sabır ve iç disiplini çocuklara aşılamaktır.\xa0ODTÜ Aikido Topluluğu, Tamura Shihan ve onun öğrencisi Nebi Vural Sensei’nin stili ve prensiplerini takip etmektedir. Her sene Aralık ve Mayıs aylarında iki tane uluslararası seminer düzenlemektir. Avrasya Aikido Organizasyonu ile birlikte, 7 yıldır her Mayıs ayında yaklaşık 20 ülkeden 300 sporcunun katıldığı, Uluslararası Aikido Festivalini düzenlemekte ve etkinliğe ev sahipliği yapmaktadır.\n']","ODTÜ Aikido Topluluğu, Çocuk Aikido grubu aracılığıyla çocukların fiziksel, sosyal ve psikolojik gelişimlerini sağlamaya odaklanmaktadır. Kulüp, profesyonel başarı için hayati öneme sahip olan saygı, iş birliği ve uyum gibi değerleri aşılamayı hedeflemektedir. Ayrıca, çocuklarda öz güven, sabır ve öz disiplinin önemini vurgulamaktadır. Bu girişimler, kulübün dövüş sanatları hakkındaki yanlış anlamaları düzeltme ve Aikido'yu çeşitli bir kitle arasında tanıtma konusundaki daha geniş misyonunun bir parçasıdır."
ODTÜ BRİÇ TOPLULUĞU nedir ve ne yapar?,"['Sports Club Name: ODTÜ BRİÇ TOPLULUĞU\nSports Club Description: Kontak briç oynamayı öğrenmek, briç bilgisini geliştirmeyi, ulusal ve uluslararası yarışmalara katılmayı sağlamak topluluğumuzun temel amacıdır.\n']","ODTÜ BRİÇ TOPLULUĞU, kontak briç oynamayı öğretmeyi, briç bilgilerini geliştirmeyi ve ulusal ve uluslararası yarışmalara katılmayı amaçlayan bir spor kulübüdür."
Formasyon İlk Yardım Tartışmaları Eğitimi nedir ve ne amaçla yapılıyor?,"['Sports Club Name: ODTÜ CAN KURTARMA VE İLK YARDIM TOPLULUĞU (OCİT)\nSports Club Description: Topluluğumuzun genel amacı; üniversite öğrencilerini cankurtarma ve ilk yardım konularında bilinçlendirmektir. Bu amaçla, Temel İlk Yardım Dersleri Eğitimi, İleri İlk Yardım Dersleri Eğitimi, Doğada İlk Yardım Eğitimi, Eğitmen Formasyon Eğitimi, Formasyon İlk Yardım Tartışmaları Eğitimi ve Case Günleri yapıyoruz. Aynı zamanda havuzda Bronz ve Gümüş Cankurtaranlık Eğitimleri veriyor, okulumuzu temsil etmek amacıyla ülkemizdeki yüzme yarışlarına katılıyor, koşu ve bisiklet yarışlarında gönüllü ilk yardımcı olarak yer alıyoruz.\n']","Formasyon İlk Yardım Tartışmaları Eğitimi nedir?  
Formasyon İlk Yardım Tartışmaları Eğitimi, üniversite öğrencilerini cankurtarma ve ilk yardım konularında bilinçlendirmek amacıyla gerçekleştirilen bir eğitim programıdır.  

Bu eğitim hangi diğer eğitimlerle birlikte sunulmaktadır?  
Bu eğitim, Temel İlk Yardım Dersleri Eğitimi, İleri İlk Yardım Dersleri Eğitimi, Doğada İlk Yardım Eğitimi gibi diğer eğitimlerle birlikte sunulmaktadır."
